X,Y,NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
-6.5,49.5,UK,826,48993826,United Kingdom,49.5,-6.5,48993,2077.1601016617938,2114.2438500206563,2178.1702001373264,2210.938900720304,28.776287547848707,31.32237814409933,35.78200234435004,42.6595625825868,31.732129542974377,34.978734211414434,38.88521363482841,46.94034244445688
-5.5,49.5,UK,826,48994826,United Kingdom,49.5,-5.5,48994,3522.1030548984763,3595.7618741599886,3713.6006359926714,3779.152089082715,48.794048277660096,53.270966420204594,61.005364344205944,72.91787891597306,53.806074126077064,59.48944767300651,66.2960837844102,80.23500475451112
-5.5,50.5,UK,826,49994826,United Kingdom,50.5,-5.5,49994,214510.9837231491,219557.0921992459,227334.29813950384,231947.2675887702,2971.7640661645546,3252.723315721823,3734.545807515889,4475.369705756917,3277.017654271381,3632.423559937707,4058.426081268146,4924.461804948945
-4.5,50.5,UK,826,49995826,United Kingdom,50.5,-4.5,49995,587559.7774586959,595732.206952444,611399.2099649955,618674.6605887259,10523.320835596573,10944.857111801863,11680.75535335145,13603.77891118516,11604.255045831855,12222.483431314657,12693.774455664472,14968.883925930557
-3.5,50.5,UK,826,49996826,United Kingdom,50.5,-3.5,49996,651314.4727261708,675965.4317487057,709790.4869272955,734505.3927267186,12998.038850427998,13487.253318354884,14414.016902453437,16740.840120590165,14333.171084719364,15061.661247251968,15664.079421660177,18420.741341336896
-2.5,50.5,UK,826,49997826,United Kingdom,50.5,-2.5,49997,367474.4764190213,378630.2270336932,394811.39705160324,405829.2246554286,6635.970316162668,7152.977117653397,8499.917352532622,9553.700595013333,7317.603751549553,7987.965800925681,9237.076755817867,10512.390432357402
-1.5,50.5,UK,826,49998826,United Kingdom,50.5,-1.5,49998,1423134.3069261776,1461952.4522799798,1519556.0403316128,1556609.1779243038,28558.057750970424,32120.216851791025,40119.93265688271,46541.84343098072,31491.48362319879,35869.70704788099,43599.353031291386,51212.200416192245
-0.5,50.5,UK,826,49999826,United Kingdom,50.5,-0.5,49999,824982.7772395584,842841.5223093145,871381.6640006151,888006.3324149597,19842.39863532853,21007.08482593899,23649.281913552382,27193.90162305994,21880.569649320667,23459.305462142333,25700.27721391544,29922.741287280707
0.5,50.5,UK,826,50000826,United Kingdom,50.5,0.5,50000,382781.85864388203,392576.145140055,407332.45132174116,416496.1797815799,7051.337410124214,7538.402188831543,8251.497121320297,9900.489335912116,7775.636512431592,8418.382708005121,8967.112161077126,10893.978551601633
-5.5,51.5,UK,826,50994826,United Kingdom,51.5,-5.5,50994,31778.51498506557,31674.89886495156,31937.618038818935,31731.47195941135,569.567788905247,560.3801923944513,540.3182520866263,622.9303307800969,628.0726390085697,625.7950694845119,587.1776112748221,685.439823468613
-4.5,51.5,UK,826,50995826,United Kingdom,51.5,-4.5,50995,314049.56240876677,313828.1823118325,317285.0769691417,316125.34052127425,5708.215671397975,5855.277003567899,6285.266689697768,7082.782813218215,6294.552028049163,6538.781222159271,6830.359453580432,7793.522262881495
-3.5,51.5,UK,826,50996826,United Kingdom,51.5,-3.5,50996,1797056.5941941396,1798802.4509347316,1822049.7356042159,1819185.4170625005,34755.54873307311,35592.2182581113,39921.232485210196,43298.269833875245,38325.56833125906,39747.00569406353,43383.4204920666,47643.14236274472
-2.5,51.5,UK,826,50997826,United Kingdom,51.5,-2.5,50997,1995109.0526690737,2047492.719413504,2126205.0881619975,2176198.812067697,43883.61158720012,49147.36128215658,62457.468780235766,70913.33733393517,48391.247320667986,54884.481617969686,67874.12267311475,78029.31246399946
-1.5,51.5,UK,826,50998826,United Kingdom,51.5,-1.5,50998,1412916.1035099342,1462089.444065652,1531179.2819245842,1580748.4400453262,34003.33261187005,38711.58857970642,51868.79918701829,57848.783021004776,37496.086093057216,43230.50956098192,56367.14563816725,63653.7629691839
-0.5,51.5,UK,826,50999826,United Kingdom,51.5,-0.5,50999,8897409.665327253,9149239.054926865,9521611.980023928,9768389.990630453,289150.10523004923,325986.53139962076,429521.0016975576,487323.884744986,318851.0186127375,364039.92653017375,466771.41628135485,536225.6114794314
0.5,51.5,UK,826,51000826,United Kingdom,51.5,0.5,51000,4233929.58856133,4307330.362359045,4434949.871647457,4501654.5623280015,82849.7745807688,89537.28211230999,107052.40295877725,121121.16375602357,91359.9356842583,99989.24023618324,116336.57387625452,133275.36804842055
1.5,51.5,UK,826,51001826,United Kingdom,51.5,1.5,51001,533859.5785322356,545077.1701415,563159.3246826425,573497.3619551783,10588.637143252852,11358.222343954334,12718.134234157304,15035.19423856697,11676.280512368201,12684.102038981737,13821.1205167427,16543.938182932554
-5.5,52.5,UK,826,51994826,United Kingdom,52.5,-5.5,51994,1143.7991433860966,1140.0696868888813,1149.5256577805246,1142.1058719896087,20.500364770232213,20.16967672748559,19.447589779105247,22.421033273666517,22.606120733453302,22.52414418008606,21.13419131678137,24.67092759769806
-4.5,52.5,UK,826,51995826,United Kingdom,52.5,-4.5,51995,102779.85195384455,106164.6555533667,111079.87487884873,114678.03395681412,1952.7693988288647,1968.2286590620547,1908.2405105225007,2305.391667511469,2153.353917810229,2197.9859516378974,2073.7335827160045,2536.731925745494
-3.5,52.5,UK,826,51996826,United Kingdom,52.5,-3.5,51996,417846.25093584746,426972.4918410999,441519.5173151942,450049.29647137463,8493.419708163168,8532.51931857832,8785.256096666042,9917.82359600318,9365.84658441926,9528.546141204635,9547.161639194263,10913.052261115663
-2.5,52.5,UK,826,51997826,United Kingdom,52.5,-2.5,51997,2128893.2565451786,2143387.3375694877,2184452.980223559,2195183.9210967696,45459.290560864625,45946.26452855776,50872.62000469642,54263.37985013065,50128.77684831552,51309.71114511375,55284.57233915591,59708.57360357678
-1.5,52.5,UK,826,51998826,United Kingdom,52.5,-1.5,51998,4495926.229768921,4535547.230864222,4630093.898166838,4658927.84963784,101929.46136814894,108007.7540991775,130036.79549485847,140081.7872817177,112399.44926883066,120615.8263598721,141314.29886300044,154138.64247917625
-0.5,52.5,UK,826,51999826,United Kingdom,52.5,-0.5,51999,1611832.0486888166,1674771.8392757177,1761151.072192467,1825693.0680631672,36669.115159726396,40308.95997840895,49408.41403544847,56534.10632721953,40435.692426963964,45014.34696103761,53693.38240596907,62207.16177418676
0.5,52.5,UK,826,52000826,United Kingdom,52.5,0.5,52000,872640.5024413613,907558.1643702231,955480.7761697614,991890.4661398977,19113.115769892807,20363.92262954763,22637.04789746979,26686.019805213888,21076.376324486875,22741.064994611264,24600.256717996293,29363.89480579479
1.5,52.5,UK,826,52001826,United Kingdom,52.5,1.5,52001,897167.8889607554,915738.8826197825,945885.6120386242,963074.0273360934,19780.72003705168,20384.3773338124,21305.95452904711,24946.739603880516,21812.55555030614,22763.907438456336,23153.723639693257,27450.082208691932
-4.5,53.5,UK,826,52995826,United Kingdom,53.5,-4.5,52995,94822.1538887134,93353.79791183882,92993.96451983992,91298.53221849677,1391.2002351328263,1407.325848517838,1375.139097069042,1668.6902368818446,1534.1015065979752,1571.6072572041367,1494.3986938611904,1836.1391071770793
-3.5,53.5,UK,826,52996826,United Kingdom,53.5,-3.5,52996,939244.2582138837,926736.0538937523,925401.7387070741,910935.9669766078,16161.07248854496,16199.567981200715,18196.12719409072,18821.237188337614,17821.105134120968,18090.592615519712,19774.19503971532,20709.901024853454
-2.5,53.5,UK,826,52997826,United Kingdom,53.5,-2.5,52997,5841730.681797227,5807348.0511817485,5841368.581697117,5790804.580741809,121846.04817029768,127242.92437148858,147628.9856115327,159939.723899227,134361.82754326254,142096.37631591744,160432.18009301525,175989.27311472569
-1.5,53.5,UK,826,52998826,United Kingdom,53.5,-1.5,52998,4406664.812358648,4432076.117609053,4517726.505657691,4541776.819559694,86544.89723585034,91678.86729145037,107581.9549340532,119114.17540535497,95434.61385715529,102380.81913953568,116912.05150020594,131066.98346219708
-0.5,53.5,UK,826,52999826,United Kingdom,53.5,-0.5,52999,1321582.91814492,1335959.4109381596,1369623.6632243954,1385578.2617891324,27828.600503421705,28116.88407906493,30019.654263136075,33129.85263586892,30687.098004074414,31399.05311564083,32623.123156495272,36454.35006164049
0.5,53.5,UK,826,53000826,United Kingdom,53.5,0.5,53000,94963.35292225258,98531.85008023624,103451.69475191868,107057.38279493693,2008.768590515522,2000.1870637872398,2020.709759675397,2280.174476137774,2215.105233088412,2233.6749577395512,2195.956781366867,2508.9842526117845
-8.5,54.5,UK,826,53991826,United Kingdom,54.5,-8.5,53991,1262.196543420257,1294.249232049639,1344.8317527646002,1377.7280961232232,19.321496418846095,21.221945503494837,23.90583877702489,29.519438505811486,21.306161411803643,23.699247477341018,25.97908409424603,32.48163994997189
-7.5,54.5,UK,826,53992826,United Kingdom,54.5,-7.5,53992,190417.57860803086,194666.14768762793,202709.19551748433,209971.23189415777,2944.768791586238,3181.6944963364685,3658.5569805967198,4370.651772537234,3247.2494797442487,3553.1033313394546,3975.847086940891,4809.235690384561
-6.5,54.5,UK,826,53993826,United Kingdom,54.5,-6.5,53993,592787.927908314,605926.2913173228,635029.6629246298,657662.871827507,9976.05203517116,10805.660441127657,12870.384880515481,14947.333693989483,11000.771902252218,12067.037911685615,13986.575173324074,16447.26105358226
-5.5,54.5,UK,826,53994826,United Kingdom,54.5,-5.5,53994,675778.1920621773,680872.7893559614,704766.4814455844,724106.5724926031,13782.523275973228,15223.655884544709,18997.254587553063,21849.313237852915,15198.236162153511,17000.75934406151,20644.800590061655,24041.83689355657
-4.5,54.5,UK,826,53995826,United Kingdom,54.5,-4.5,53995,22013.925668001797,21666.979330287613,21596.74912664684,21234.929409641052,467.5191610474495,448.7694542771461,436.8580642163318,476.4222407388701,515.5417827095437,501.1556718696645,474.7447890610276,524.2300149033069
-3.5,54.5,UK,826,53996826,United Kingdom,54.5,-3.5,53996,315578.3172078351,311575.33995014225,311275.8239244726,306490.36105902976,7215.176923720005,6557.08245866616,6145.250861948348,6238.47542758097,7956.305289146962,7322.510553599813,6678.2006861113105,6864.490753627958
-2.5,54.5,UK,826,53997826,United Kingdom,54.5,-2.5,53997,389872.52946908673,396918.80990883114,408910.4830136583,415228.4629048008,8225.79632238406,8282.051446004722,8813.205165790943,9714.098814128563,9070.73346629548,9248.840395269735,9577.534604724737,10688.88420953043
-1.5,54.5,UK,826,53998826,United Kingdom,54.5,-1.5,53998,2121682.7292273943,2099454.003961398,2105781.7876914414,2084377.6097543922,41430.062517478436,42483.246394414586,47666.82867832328,52216.73707824299,45685.67465807229,47442.44441567732,51800.75722464534,57456.5553746535
-0.5,54.5,UK,826,53999826,United Kingdom,54.5,-0.5,53999,305963.25787849206,286943.95511617913,275818.1046859685,265427.7658733694,5944.131004262939,5700.691153814703,6002.235658130616,6297.3771758108105,6554.7001062610325,6366.150097967913,6522.782420247853,6929.3031442176
-7.5,55.5,UK,826,54992826,United Kingdom,55.5,-7.5,54992,45998.18037959627,45664.69797041452,47027.533750398536,49098.555938351376,723.8943086997959,742.2008727268151,870.5569368200439,969.3767450615237,798.2512664598765,828.840228515082,946.0564041037914,1066.6512644800232
